cod_transicao;frase_generica;frase_dependencia;frase_morte;atendimento_humano
01L;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
01O;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
01P;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01T;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
01U;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
01V;Informamos que o pedido de indenização está em fase final de análise na Seguradora Líder e, em breve, o pagamento será liberado. Volte a consultar o andamento do seu pedido em 4 dias.;N/A;N/A;N/A
01W;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
01X;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
01Y;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
01Z;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
20;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
21;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
22;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
23;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
24;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Foi feita a tentativa de agendar uma perícia médica, porém não conseguimos contato com a vítima.   ;N/A;N/A;SIM
25;"O pedido de indenização do Seguro DPVAT está em fase de agendamento de análise médica presencial. Em breve, entraremos em contato por telefone ou carta para marcar o exame. É muito importante que a vítima compareça no dia e horário agendados, levando um documento de identificação original com foto. O não comparecimento gera pendência, atrasando a conclusão do processo.
Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
26;"O pedido de indenização está em análise na Seguradora Líder-DPVAT. Identificamos que será necessário que a vítima realize uma perícia médica, por isso, em breve, entraremos em contato por meio do telefone ou endereço informados na abertura do processo para marcar o exame. 
Aguarde e continue acompanhando o andamento do seu pedido";N/A;N/A;N/A
27;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
28;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
29;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
02A;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
02B;"Recebemos sua documentação complementar e informamos que está em fase de digitalização.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
02C;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
02D;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02E;"O pedido de indenização está em análise na Seguradora Líder em fase de verificação das despesas médicas e suplementares realizadas com o tratamento.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
02F;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02G;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02H;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02I;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02J;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Agendamos uma perícia médica, porém,  a vítima não compareceu ao exame. Entre em contato, ainda hoje, dentro do horário comercial, no telefone (bind telefoneprestador)  para fazermos uma nova tentativa de agendamento do exame.;N/A;N/A;N/A
02K;"Informamos que este pedido de indenização  está em fase de realização de consulta médica presencial. É muito importante que a vítima compareça no endereço abaixo, no dia e horário agendado, levando um documento de identificação original com foto. Fique atento: o não comparecimento à perícia gera pendência, atrasando a conclusão do processo.
";N/A;N/A;N/A
02L;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02M;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02N;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Foi feita a tentativa de agendar uma consulta médica, porém não conseguimos contato com a vítima. Caso tenha interesse em dar continuidade ao processo, retorne ao local em que deu entrada e atualize seus dados de contato.;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Foi feita a tentativa de agendar uma consulta médica, porém não conseguimos contato com a vítima. Caso tenha interesse em dar continuidade ao processo.;N/A;N/A
02O;Informamos que este pedido de indenização foi concluído, com o pagamento realizado  na conta bancária indicada. ;N/A;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;SIM_MORTE
02P;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02Q;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02R;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02S;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02T;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
02U;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02V;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02W;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02X;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02Y;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
02Z;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
30;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
31;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
32;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
33;Informamos que este pedido de indenização teve o prazo regulamentar de 30 dias interrompido para verificação de informações adicionais, procedimento previsto na legislação (Resolução CNSP 332/2015). Assim que todas as verificações forem finalizadas, o prazo voltará a seguir normalmente. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
34;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação da documentação médica apresentada pela vítima.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
35;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
36;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
37;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
38;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
39;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03A;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03B;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03C;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03D;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03E;"Recebemos sua documentação complementar e informamos que este pedido de indenização está em análise na Seguradora Líder.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
03F;"Recebemos sua documentação complementar e informamos que está em fase de digitalização.
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ";N/A;N/A;N/A
03G;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
03H;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03I;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
03J;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03K;Informamos que este pedido de indenização está em fase final de análise pela Seguradora Líder. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03L;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
03M;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
03N;Não foi possível identificar, na documentação apresentada, a existência e o grau das lesões permanentes ocasionadas pelo acidente de trânsito. Agendamos uma perícia médica, porém,  a vítima não compareceu ao exame. Entre em contato, ainda hoje, dentro do horário comercial, no telefone (bind telefoneprestador)  para fazermos uma nova tentativa de agendamento do exame.;N/A;N/A;N/A
03O;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
03P;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
03Q;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
03R;Informamos que este pedido de indenização foi analisado e identificamos pendências documentais que impedem a conclusão do processo. Regularize os documentos listados abaixo e acesse: https://documentospendentes.seguradoralider.com.br para enviá-los e  comprovar o seu direito ao Seguro DPVAT.;N/A;N/A;N/A
03S;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
03T;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
03U;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
03V;"Informamos que este pedido de indenização está em fase de cadastramento. A documentação será digitalizada e depois analisada pela equipe da seguradora. 
O prazo para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.";N/A;N/A;N/A
03W;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
03X;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
03Y;"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";"Informamos que este pedido de indenização foi negado. Os motivos da negativa foram enviados por carta para o beneficiário. 
";N/A;N/A
03Z;Informamos que a documentação foi recebida e digitalizada e o pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido.;N/A;N/A;N/A
40;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
41;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
42;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
43;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
44;"O pedido de indenização está em análise na Seguradora Líder-DPVAT, em fase de verificação das lesões sofridas pela vítima no acidente. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
45;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
46;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
47;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
48;"O pedido de indenização do Seguro DPVAT está em análise.
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o seu pedido.";N/A;N/A;N/A
49;Conforme solicitação, o pedido do Seguro DPVAT por invalidez permanente foi revisado e, após análise da documentação apresentada, não foram identificadas novas lesões ou agravamento da(s) lesão(ões) que já foi(foram) indenizada(s).  O pedido de reanálise foi encerrado, permanecendo o valor pago.;N/A;N/A;N/A
04A;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04B;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
04C;Desculpe, mas no momento não conseguimos localizar as informações deste pedido de indenização. ;N/A;N/A;SIM
04D;"Seus documentos estão em fase de digitalização e depois serão analisados pela equipe técnica da seguradora. 
O prazo regulamentar para conclusão da análise é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do pedido.";N/A;N/A;N/A
04E;Informamos que este pedido de indenização está em análise na Seguradora Líder. O prazo para conclusão é de até 30 dias, caso a documentação esteja completa e não haja necessidade de informações adicionais. Aguarde e continue acompanhando o andamento do seu pedido. ;N/A;N/A;N/A
